04-01 15:32:41.771972 [INFO] configInit.py:50 | INFO
04-01 15:32:41.771972 [INFO] configInit.py:51 | 鸣谢: duckweed
04-01 15:32:41.771972 [INFO] configInit.py:52 | 当前版本: 0.1.0
04-01 15:32:41.771972 [INFO] configInit.py:53 | python: 3.11.7
04-01 15:32:41.771972 [INFO] configInit.py:55 | 文件初始化成功
04-01 15:32:43.127614 [INFO] login.py:41 | 开始初始化窗口
04-01 15:32:43.127614 [INFO] login.py:48 | 窗口初始化完成
04-01 15:32:43.166069 [INFO] login.py:67 | 解密成功，自动填写密码
04-01 15:32:44.762750 [INFO] login.py:86 | 开始登录
04-01 15:35:01.010602 [INFO] configInit.py:50 | INFO
04-01 15:35:01.021349 [INFO] configInit.py:51 | 鸣谢: duckweed
04-01 15:35:01.021349 [INFO] configInit.py:52 | 当前版本: 0.1.0
04-01 15:35:01.021349 [INFO] configInit.py:53 | python: 3.11.7
04-01 15:35:01.021349 [INFO] configInit.py:55 | 文件初始化成功
04-01 15:35:01.398000 [INFO] login.py:41 | 开始初始化窗口
04-01 15:35:01.409641 [INFO] login.py:48 | 窗口初始化完成
04-01 15:35:01.426457 [INFO] login.py:67 | 解密成功，自动填写密码
04-01 15:35:07.105592 [INFO] login.py:86 | 开始登录
04-01 15:35:22.118148 [INFO] login.py:132 | 登录成功
04-01 15:35:22.118148 [INFO] login.py:134 | 下次自动登录
04-01 15:35:22.118148 [INFO] login.py:166 | 加密成功
04-01 15:35:22.162861 [INFO] login.py:145 | 登录成功
04-01 15:49:39.528567 [INFO] configInit.py:50 | INFO
04-01 15:49:39.529572 [INFO] configInit.py:51 | 鸣谢: duckweed
04-01 15:49:39.529572 [INFO] configInit.py:52 | 当前版本: 0.1.0
04-01 15:49:39.530572 [INFO] configInit.py:53 | python: 3.11.7
04-01 15:49:39.531572 [INFO] configInit.py:55 | 文件初始化成功
04-01 15:49:39.938485 [INFO] login.py:41 | 开始初始化窗口
04-01 15:49:39.941501 [INFO] login.py:48 | 窗口初始化完成
04-01 15:49:39.960389 [INFO] login.py:67 | 解密成功，自动填写密码
04-01 15:49:47.348004 [INFO] login.py:86 | 开始登录
04-01 15:49:58.342789 [INFO] login.py:132 | 登录成功
04-01 15:49:58.342789 [INFO] login.py:134 | 下次自动登录
04-01 15:49:58.349260 [INFO] login.py:166 | 加密成功
04-01 15:49:58.378082 [INFO] login.py:145 | 登录成功
04-01 16:04:30.754214 [INFO] configInit.py:50 | INFO
04-01 16:04:30.754214 [INFO] configInit.py:51 | 鸣谢: duckweed
04-01 16:04:30.754214 [INFO] configInit.py:52 | 当前版本: 0.1.0
04-01 16:04:30.754214 [INFO] configInit.py:53 | python: 3.11.7
04-01 16:04:30.769950 [INFO] configInit.py:55 | 文件初始化成功
04-01 16:04:31.216615 [INFO] login.py:41 | 开始初始化窗口
04-01 16:04:31.216615 [INFO] login.py:48 | 窗口初始化完成
04-01 16:04:31.251983 [INFO] login.py:67 | 解密成功，自动填写密码
04-01 16:04:33.472843 [INFO] login.py:86 | 开始登录
04-01 16:05:43.852856 [INFO] login.py:132 | 登录成功
04-01 16:05:43.857263 [INFO] login.py:134 | 下次自动登录
04-01 16:05:43.857263 [INFO] login.py:166 | 加密成功
04-01 16:05:43.884959 [INFO] login.py:145 | 登录成功
04-01 16:11:05.960017 [INFO] configInit.py:50 | INFO
04-01 16:11:05.960017 [INFO] configInit.py:51 | 鸣谢: duckweed
04-01 16:11:05.960017 [INFO] configInit.py:52 | 当前版本: 0.1.0
04-01 16:11:05.960017 [INFO] configInit.py:53 | python: 3.11.7
04-01 16:11:05.960017 [INFO] configInit.py:55 | 文件初始化成功
04-01 16:11:06.317295 [INFO] login.py:41 | 开始初始化窗口
04-01 16:11:06.331800 [INFO] login.py:48 | 窗口初始化完成
04-01 16:11:06.363054 [INFO] login.py:67 | 解密成功，自动填写密码
04-01 16:11:07.600028 [INFO] login.py:86 | 开始登录
04-01 16:11:19.203637 [INFO] login.py:132 | 登录成功
04-01 16:11:19.203637 [INFO] login.py:134 | 下次自动登录
04-01 16:11:19.203637 [INFO] login.py:166 | 加密成功
04-01 16:11:19.256245 [INFO] login.py:145 | 登录成功
04-01 17:10:07.024658 [INFO] configInit.py:50 | INFO
04-01 17:10:07.024658 [INFO] configInit.py:51 | 鸣谢: duckweed
04-01 17:10:07.024658 [INFO] configInit.py:52 | 当前版本: 0.1.0
04-01 17:10:07.024658 [INFO] configInit.py:53 | python: 3.11.7
04-01 17:10:07.040745 [INFO] configInit.py:55 | 文件初始化成功
04-01 17:10:07.657365 [INFO] login.py:41 | 开始初始化窗口
04-01 17:10:07.657365 [INFO] login.py:48 | 窗口初始化完成
04-01 17:10:07.699199 [INFO] login.py:67 | 解密成功，自动填写密码
04-01 17:10:09.126135 [INFO] login.py:86 | 开始登录
04-01 17:10:58.685903 [INFO] login.py:132 | 登录成功
04-01 17:10:58.686614 [INFO] login.py:134 | 下次自动登录
04-01 17:10:58.688118 [INFO] login.py:166 | 加密成功
04-01 17:10:58.728707 [INFO] login.py:145 | 登录成功
04-01 17:11:10.522262 [INFO] login.py:86 | 开始登录
04-01 17:11:26.055136 [INFO] login.py:132 | 登录成功
04-01 17:11:26.055136 [INFO] login.py:134 | 下次自动登录
04-01 17:11:26.055136 [INFO] login.py:166 | 加密成功
04-01 17:11:26.087382 [INFO] login.py:145 | 登录成功
04-01 17:15:59.577337 [INFO] configInit.py:50 | INFO
04-01 17:15:59.577847 [INFO] configInit.py:51 | 鸣谢: duckweed
04-01 17:15:59.578549 [INFO] configInit.py:52 | 当前版本: 0.1.0
04-01 17:15:59.579453 [INFO] configInit.py:53 | python: 3.11.7
04-01 17:15:59.580152 [INFO] configInit.py:55 | 文件初始化成功
04-01 17:15:59.936075 [INFO] login.py:41 | 开始初始化窗口
04-01 17:15:59.940834 [INFO] login.py:48 | 窗口初始化完成
04-01 17:15:59.972591 [INFO] login.py:67 | 解密成功，自动填写密码
04-01 17:16:03.443315 [INFO] login.py:86 | 开始登录
04-01 17:16:09.930360 [INFO] login.py:132 | 登录成功
04-01 17:16:09.930360 [INFO] login.py:134 | 下次自动登录
04-01 17:16:09.930360 [INFO] login.py:166 | 加密成功
04-01 17:16:09.963537 [INFO] login.py:145 | 登录成功
04-01 17:45:14.263322 [INFO] configInit.py:50 | INFO
04-01 17:45:14.263322 [INFO] configInit.py:51 | 鸣谢: duckweed
04-01 17:45:14.263322 [INFO] configInit.py:52 | 当前版本: 0.1.0
04-01 17:45:14.263322 [INFO] configInit.py:53 | python: 3.11.7
04-01 17:45:14.263322 [INFO] configInit.py:55 | 文件初始化成功
04-01 17:45:14.647548 [INFO] login.py:41 | 开始初始化窗口
04-01 17:45:14.647548 [INFO] login.py:48 | 窗口初始化完成
04-01 17:45:14.682823 [INFO] login.py:67 | 解密成功，自动填写密码
04-01 17:45:16.293243 [INFO] login.py:86 | 开始登录
04-01 17:45:24.567192 [INFO] login.py:132 | 登录成功
04-01 17:45:24.567192 [INFO] login.py:134 | 下次自动登录
04-01 17:45:24.568695 [INFO] login.py:166 | 加密成功
04-01 17:45:24.597890 [INFO] login.py:145 | 登录成功
04-01 17:49:17.127863 [INFO] login.py:188 | 注册成功
04-01 17:49:42.544617 [INFO] login.py:86 | 开始登录
04-01 17:51:01.758025 [INFO] configInit.py:50 | INFO
04-01 17:51:01.758025 [INFO] configInit.py:51 | 鸣谢: duckweed
04-01 17:51:01.758025 [INFO] configInit.py:52 | 当前版本: 0.1.0
04-01 17:51:01.758025 [INFO] configInit.py:53 | python: 3.11.7
04-01 17:51:01.758025 [INFO] configInit.py:55 | 文件初始化成功
04-01 17:51:02.126103 [INFO] login.py:41 | 开始初始化窗口
04-01 17:51:02.126103 [INFO] login.py:48 | 窗口初始化完成
04-01 17:51:02.157438 [INFO] login.py:67 | 解密成功，自动填写密码
04-01 17:51:03.516902 [INFO] login.py:86 | 开始登录
04-01 17:51:43.863640 [INFO] configInit.py:50 | INFO
04-01 17:51:43.865144 [INFO] configInit.py:51 | 鸣谢: duckweed
04-01 17:51:43.865144 [INFO] configInit.py:52 | 当前版本: 0.1.0
04-01 17:51:43.865144 [INFO] configInit.py:53 | python: 3.11.7
04-01 17:51:43.865144 [INFO] configInit.py:55 | 文件初始化成功
04-01 17:51:44.443493 [INFO] login.py:41 | 开始初始化窗口
04-01 17:51:44.445269 [INFO] login.py:48 | 窗口初始化完成
04-01 17:51:44.475349 [INFO] login.py:67 | 解密成功，自动填写密码
04-01 17:51:52.777930 [INFO] login.py:86 | 开始登录
04-01 17:52:17.242107 [INFO] login.py:132 | 登录成功
04-01 17:52:17.242107 [INFO] login.py:134 | 下次自动登录
04-01 17:52:17.242107 [INFO] login.py:166 | 加密成功
04-01 17:52:17.281464 [INFO] login.py:145 | 登录成功
04-01 17:55:44.225782 [INFO] configInit.py:50 | INFO
04-01 17:55:44.225782 [INFO] configInit.py:51 | 鸣谢: duckweed
04-01 17:55:44.225782 [INFO] configInit.py:52 | 当前版本: 0.1.5
04-01 17:55:44.225782 [INFO] configInit.py:53 | python: 3.11.7
04-01 17:55:44.225782 [INFO] configInit.py:55 | 文件初始化成功
04-01 17:55:44.671327 [INFO] login.py:41 | 开始初始化窗口
04-01 17:55:44.671327 [INFO] login.py:48 | 窗口初始化完成
04-01 17:55:59.876161 [INFO] login.py:86 | 开始登录
04-01 17:55:59.891707 [WARNING] login.py:99 | 用户名不存在
04-01 17:57:00.212467 [INFO] configInit.py:50 | INFO
04-01 17:57:00.212467 [INFO] configInit.py:51 | 鸣谢: duckweed
04-01 17:57:00.212467 [INFO] configInit.py:52 | 当前版本: 0.1.5
04-01 17:57:00.212467 [INFO] configInit.py:53 | python: 3.11.7
04-01 17:57:00.212467 [INFO] configInit.py:55 | 文件初始化成功
04-01 17:57:00.570514 [INFO] login.py:41 | 开始初始化窗口
04-01 17:57:00.570514 [INFO] login.py:48 | 窗口初始化完成
04-01 17:57:12.043605 [INFO] login.py:188 | 注册成功
04-01 17:57:28.546514 [INFO] login.py:86 | 开始登录
04-01 17:57:39.979907 [INFO] login.py:132 | 登录成功
04-01 17:57:39.979907 [INFO] login.py:134 | 下次自动登录
04-01 17:57:39.981911 [INFO] login.py:166 | 加密成功
04-01 17:57:40.024984 [INFO] login.py:145 | 登录成功
04-01 18:55:36.363657 [INFO] configInit.py:50 | INFO
04-01 18:55:36.363657 [INFO] configInit.py:51 | 鸣谢: duckweed
04-01 18:55:36.363657 [INFO] configInit.py:52 | 当前版本: 0.1.5
04-01 18:55:36.363657 [INFO] configInit.py:53 | python: 3.11.7
04-01 18:55:36.363657 [INFO] configInit.py:55 | 文件初始化成功
04-01 18:55:36.738194 [INFO] login.py:41 | 开始初始化窗口
04-01 18:55:36.738194 [INFO] login.py:48 | 窗口初始化完成
04-01 18:55:36.769456 [INFO] login.py:67 | 解密成功，自动填写密码
04-01 18:55:41.171294 [INFO] login.py:86 | 开始登录
04-01 18:56:09.173683 [INFO] login.py:132 | 登录成功
04-01 18:56:09.173683 [INFO] login.py:134 | 下次自动登录
04-01 18:56:09.173683 [INFO] login.py:166 | 加密成功
04-01 18:56:09.204002 [INFO] login.py:145 | 登录成功
