03-25 19:27:39.387097 [INFO] configInit.py:50 | INFO
03-25 19:27:39.389096 [INFO] configInit.py:51 | 作者: duckweed
03-25 19:27:39.390096 [INFO] configInit.py:52 | 当前版本: 0.1.0
03-25 19:27:39.391097 [INFO] configInit.py:53 | python: 3.11.7
03-25 19:27:39.912390 [INFO] configInit.py:55 | 文件初始化成功
03-25 19:27:42.587197 [INFO] login.py:37 | 开始初始化窗口
03-25 19:27:42.590196 [INFO] login.py:44 | 窗口初始化完成
03-25 19:29:10.300481 [INFO] configInit.py:50 | INFO
03-25 19:29:10.301484 [INFO] configInit.py:51 | 作者: duckweed
03-25 19:29:10.302481 [INFO] configInit.py:52 | 当前版本: 0.1.0
03-25 19:29:10.313034 [INFO] configInit.py:53 | python: 3.11.7
03-25 19:29:10.314041 [INFO] configInit.py:55 | 文件初始化成功
03-25 19:29:10.643122 [INFO] login.py:37 | 开始初始化窗口
03-25 19:29:10.646827 [INFO] login.py:44 | 窗口初始化完成
03-25 19:29:47.271365 [INFO] login.py:170 | 注册成功
03-25 19:29:59.511435 [INFO] login.py:82 | 开始登录
03-25 19:29:59.528295 [INFO] login.py:116 | 登录成功
03-25 19:29:59.528295 [INFO] login.py:118 | 下次自动登录
03-25 19:29:59.535297 [INFO] login.py:148 | 加密成功
03-25 19:29:59.621494 [INFO] login.py:129 | 登录成功
03-25 19:34:50.592596 [INFO] configInit.py:50 | INFO
03-25 19:34:50.594603 [INFO] configInit.py:51 | 作者: duckweed
03-25 19:34:50.595515 [INFO] configInit.py:52 | 当前版本: 0.1.0
03-25 19:34:50.595515 [INFO] configInit.py:53 | python: 3.11.7
03-25 19:34:50.596518 [INFO] configInit.py:55 | 文件初始化成功
03-25 19:34:51.018754 [INFO] login.py:37 | 开始初始化窗口
03-25 19:34:51.021754 [INFO] login.py:44 | 窗口初始化完成
03-25 19:34:51.050822 [INFO] login.py:63 | 解密成功，自动填写密码
03-25 19:35:09.768421 [INFO] login.py:82 | 开始登录
03-25 19:35:09.775420 [INFO] login.py:116 | 登录成功
03-25 19:35:09.776501 [INFO] login.py:118 | 下次自动登录
03-25 19:35:09.778502 [INFO] login.py:148 | 加密成功
03-25 19:35:09.917316 [INFO] login.py:129 | 登录成功
03-25 19:39:01.177892 [INFO] login.py:82 | 开始登录
03-25 19:39:01.190250 [INFO] login.py:116 | 登录成功
03-25 19:39:01.191250 [INFO] login.py:118 | 下次自动登录
03-25 19:39:01.193249 [INFO] login.py:148 | 加密成功
03-25 19:39:01.270560 [INFO] login.py:129 | 登录成功
03-25 19:44:05.222130 [INFO] configInit.py:50 | INFO
03-25 19:44:05.222130 [INFO] configInit.py:51 | 作者: duckweed
03-25 19:44:05.223129 [INFO] configInit.py:52 | 当前版本: 0.1.0
03-25 19:44:05.224131 [INFO] configInit.py:53 | python: 3.11.7
03-25 19:44:05.225635 [INFO] configInit.py:55 | 文件初始化成功
03-25 19:44:05.841728 [INFO] login.py:37 | 开始初始化窗口
03-25 19:44:05.844264 [INFO] login.py:44 | 窗口初始化完成
03-25 19:44:05.874891 [INFO] login.py:63 | 解密成功，自动填写密码
03-25 19:44:07.771856 [INFO] login.py:82 | 开始登录
03-25 19:44:07.799953 [INFO] login.py:116 | 登录成功
03-25 19:44:07.799953 [INFO] login.py:118 | 下次自动登录
03-25 19:44:07.801962 [INFO] login.py:148 | 加密成功
03-25 19:44:07.948604 [INFO] login.py:129 | 登录成功
03-25 20:12:09.893113 [INFO] configInit.py:50 | INFO
03-25 20:12:09.894104 [INFO] configInit.py:51 | 作者: duckweed
03-25 20:12:09.895112 [INFO] configInit.py:52 | 当前版本: 0.1.0
03-25 20:12:09.895112 [INFO] configInit.py:53 | python: 3.11.7
03-25 20:12:09.896617 [INFO] configInit.py:55 | 文件初始化成功
03-25 20:12:10.582567 [INFO] login.py:37 | 开始初始化窗口
03-25 20:12:10.586563 [INFO] login.py:44 | 窗口初始化完成
03-25 20:12:10.617648 [INFO] login.py:63 | 解密成功，自动填写密码
03-25 20:12:22.364788 [INFO] login.py:82 | 开始登录
03-25 20:12:22.378394 [INFO] login.py:116 | 登录成功
03-25 20:12:22.379395 [INFO] login.py:118 | 下次自动登录
03-25 20:12:22.381897 [INFO] login.py:148 | 加密成功
03-25 20:12:22.475489 [INFO] login.py:129 | 登录成功
