04-02 09:59:23.957330 [INFO] configInit.py:50 | INFO
04-02 09:59:23.957330 [INFO] configInit.py:51 | 鸣谢: duckweed
04-02 09:59:23.957330 [INFO] configInit.py:52 | 当前版本: 0.1.5
04-02 09:59:23.957330 [INFO] configInit.py:53 | python: 3.11.7
04-02 09:59:23.957330 [INFO] configInit.py:55 | 文件初始化成功
04-02 09:59:24.570584 [INFO] login.py:41 | 开始初始化窗口
04-02 09:59:24.586201 [INFO] login.py:48 | 窗口初始化完成
04-02 09:59:24.618194 [INFO] login.py:67 | 解密成功，自动填写密码
04-02 09:59:26.315597 [INFO] login.py:86 | 开始登录
04-02 09:59:31.930591 [INFO] login.py:132 | 登录成功
04-02 09:59:31.930591 [INFO] login.py:134 | 下次自动登录
04-02 09:59:31.930591 [INFO] login.py:166 | 加密成功
04-02 09:59:31.970464 [INFO] login.py:145 | 登录成功
04-02 16:42:20.699755 [INFO] configInit.py:50 | INFO
04-02 16:42:20.699755 [INFO] configInit.py:51 | 鸣谢: duckweed
04-02 16:42:20.701234 [INFO] configInit.py:52 | 当前版本: 0.1.5
04-02 16:42:20.702237 [INFO] configInit.py:53 | python: 3.11.7
04-02 16:42:20.702960 [INFO] configInit.py:55 | 文件初始化成功
04-02 16:42:21.231437 [INFO] login.py:41 | 开始初始化窗口
04-02 16:42:21.234442 [INFO] login.py:48 | 窗口初始化完成
04-02 16:42:21.264038 [INFO] login.py:67 | 解密成功，自动填写密码
04-02 16:42:23.679690 [INFO] login.py:86 | 开始登录
04-02 16:42:26.250099 [INFO] login.py:132 | 登录成功
04-02 16:42:26.251115 [INFO] login.py:134 | 下次自动登录
04-02 16:42:26.252108 [INFO] login.py:166 | 加密成功
04-02 16:42:26.297495 [INFO] login.py:145 | 登录成功
04-02 16:42:32.070070 [INFO] login.py:86 | 开始登录
04-02 16:42:33.414937 [INFO] login.py:132 | 登录成功
04-02 16:42:33.415937 [INFO] login.py:134 | 下次自动登录
04-02 16:42:33.416948 [INFO] login.py:166 | 加密成功
04-02 16:42:33.432939 [INFO] login.py:145 | 登录成功
04-02 16:42:36.053496 [INFO] login.py:86 | 开始登录
04-02 16:42:37.632948 [INFO] login.py:132 | 登录成功
04-02 16:42:37.632948 [INFO] login.py:134 | 下次自动登录
04-02 16:42:37.635425 [INFO] login.py:166 | 加密成功
04-02 16:42:37.658070 [INFO] login.py:145 | 登录成功
04-02 16:42:39.967870 [INFO] login.py:86 | 开始登录
04-02 16:42:41.336262 [INFO] login.py:132 | 登录成功
04-02 16:42:41.336262 [INFO] login.py:134 | 下次自动登录
04-02 16:42:41.336262 [INFO] login.py:166 | 加密成功
04-02 16:42:41.356621 [INFO] login.py:145 | 登录成功
04-02 16:42:54.924715 [INFO] login.py:188 | 注册成功
04-02 16:43:07.022488 [INFO] login.py:86 | 开始登录
04-02 16:44:03.908636 [INFO] configInit.py:50 | INFO
04-02 16:44:03.909633 [INFO] configInit.py:51 | 鸣谢: duckweed
04-02 16:44:03.909633 [INFO] configInit.py:52 | 当前版本: 0.1.5
04-02 16:44:03.911030 [INFO] configInit.py:53 | python: 3.11.7
04-02 16:44:03.911030 [INFO] configInit.py:55 | 文件初始化成功
04-02 16:44:04.265083 [INFO] login.py:41 | 开始初始化窗口
04-02 16:44:04.265083 [INFO] login.py:48 | 窗口初始化完成
04-02 16:44:04.310473 [INFO] login.py:67 | 解密成功，自动填写密码
04-02 16:44:08.161490 [INFO] login.py:86 | 开始登录
04-02 16:44:15.619184 [INFO] login.py:132 | 登录成功
04-02 16:44:15.620182 [INFO] login.py:134 | 下次自动登录
04-02 16:44:15.621183 [INFO] login.py:166 | 加密成功
04-02 16:44:15.653275 [INFO] login.py:145 | 登录成功
